ID,TimeStep,CumActualTime,TOTAL,CumQuant
1,0,0:00,1,1
2,15,0:15,1,2
3,30,0:30,4,6
4,45,0:45,4,10
5,60,1:00,9,19
6,75,1:15,10,29
7,90,1:30,9,38
8,105,1:45,9,47
9,120,2:00,5,52
10,135,2:15,7,59
11,150,2:30,7,66
12,165,2:45,3,69
13,180,3:00,7,76
14,195,3:15,3,79
15,210,3:30,5,84
16,225,3:45,6,90
17,240,4:00,10,100
18,255,4:15,8,108
19,270,4:30,5,113
20,285,4:45,3,116
21,300,5:00,8,124
22,315,5:15,2,126
23,330,5:30,10,136
24,345,5:45,5,141
25,360,6:00,4,145
26,375,6:15,6,151
27,390,6:30,8,159
28,405,6:45,1,160
29,420,7:00,2,162
30,435,7:15,1,163
31,450,7:30,2,165
32,465,7:45,5,170
33,480,8:00,10,180
34,495,8:15,6,186
35,510,8:30,4,190
36,525,8:45,3,193
37,540,9:00,9,202
38,555,9:15,9,211
39,570,9:30,7,218
40,585,9:45,5,223
41,600,10:00,8,231
42,615,10:15,7,238
43,630,10:30,9,247
44,645,10:45,7,254
45,660,11:00,4,258
46,675,11:15,1,259
47,690,11:30,7,266
48,705,11:45,7,273
49,720,12:00,8,281
50,735,12:15,8,289
51,750,12:30,6,295
52,765,12:45,5,300
53,780,13:00,1,301
54,795,13:15,3,304
55,810,13:30,10,314
56,825,13:45,9,323
57,840,14:00,2,325
58,855,14:15,2,327
59,870,14:30,4,331
60,885,14:45,1,332
61,900,15:00,1,333
62,915,15:15,10,343
63,930,15:30,8,351
64,945,15:45,3,354
65,960,16:00,4,358
66,975,16:15,1,359
67,990,16:30,8,367
68,1005,16:45,1,368
69,1020,17:00,5,373
70,1035,17:15,7,380
71,1050,17:30,6,386
72,1065,17:45,7,393
73,1080,18:00,7,400
74,1095,18:15,3,403
75,1110,18:30,1,404
76,1125,18:45,10,414
77,1140,19:00,9,423
78,1155,19:15,7,430
79,1170,19:30,8,438
80,1185,19:45,3,441
81,1200,20:00,1,442
82,1215,20:15,5,447
83,1230,20:30,8,455
84,1245,20:45,7,462
85,1260,21:00,6,468
86,1275,21:15,6,474
87,1290,21:30,10,484
88,1305,21:45,3,487
89,1320,22:00,8,495
90,1335,22:15,3,498
91,1350,22:30,2,500
92,1365,22:45,2,502
93,1380,23:00,6,508
94,1395,23:15,5,513
95,1410,23:30,6,519
96,1425,23:45,1,520
