STOP_ID,STOP_NAME,TOWN,TOWN_ID,ROUTE,SEQUENCE,LATITUDE,LONGITUDE
36466,Hyde Park Ave @ Oak Street,BOSTON,35,192,1,42.2548903655893,-71.1242765655446
6466,Hyde Park Ave @ Clay Street,BOSTON,35,192,2,42.2579782484142,-71.1235925026106
6467,Hyde Park Ave @ Harvard Ave,BOSTON,35,192,3,42.2605892756756,-71.1227589740029
6468,Hyde Park Ave @ West St,BOSTON,35,192,4,42.2617192688027,-71.1221047798364
6470,Hyde Park Ave @ Westminster St,BOSTON,35,192,5,42.2641085825083,-71.1213612863496
6471,Hyde Park Ave @ Thatcher St,BOSTON,35,192,6,42.2659734686625,-71.1210661739024
6472,Opp 945 Hyde Park Ave,BOSTON,35,192,7,42.2676658319641,-71.1209265793473
185,Mattapan Station - North Busway,BOSTON,35,191,1,42.2677550448229,-71.0920841773752
185,Mattapan Station - North Busway,BOSTON,35,191,144,42.2677560448229,-71.0920841773752
10582,River St opp Fremont St,BOSTON,35,191,2,42.269998113505,-71.0899792735092
579,River St @ Gladeside Ave,BOSTON,35,191,142,42.2701984899094,-71.0878173077732
583,River St opp Gladeside Ave,BOSTON,35,191,3,42.270304636372,-71.08744007482
6473,Hyde Park Ave @ Collins Street,BOSTON,35,192,8,42.2705038990628,-71.1204729972393
578,River St @ Newcroft Circle,BOSTON,35,191,141,42.2711188962552,-71.0844437874113
584,308 River St opp Newcroft Circle,BOSTON,35,191,4,42.2712242889391,-71.0838806623188
585,River St @ Leahaven Rd,BOSTON,35,191,5,42.2713237372517,-71.0824136605034
586,River St @ Meadowbank Ave,BOSTON,35,191,6,42.2713298258843,-71.0815476617852
588,River St opp Cedar St,BOSTON,35,191,8,42.2713629515788,-71.074875000007
576,River St opp Duxbury Rd,BOSTON,35,191,139,42.2713700373744,-71.0807738098187
587,168 River St opp Standard St,BOSTON,35,191,7,42.2717123318862,-71.0783382063475
589,River St opp Temple St,BOSTON,35,191,9,42.2718608277744,-71.0720066339895
571,Dorchester Ave @ Washington St,BOSTON,35,191,134,42.2722828284083,-71.0680230798753
590,River St @ Washington St,BOSTON,35,191,10,42.2724185897381,-71.0695431923659
6474,Hyde Park Ave @ American Legion Hwy,BOSTON,35,192,9,42.2728215231833,-71.1200710244782
591,Dorchester Ave opp Adirondack Pl,BOSTON,35,191,11,42.2732574133041,-71.0677959104453
882,Dorchester Ave @ Richmond St,BOSTON,35,191,12,42.2739740059609,-71.0676003277299
593,Dorchester Ave opp St Gregory St,BOSTON,35,191,13,42.2754003456378,-71.0672153057185
570,Dorchester Ave @ St Gregory St,BOSTON,35,191,132,42.2755768508666,-71.0671685491504
10569,2165 Dorchester Ave,BOSTON,35,191,131,42.2762543022126,-71.0669765281215
594,Opp 2165 Dorchester Ave,BOSTON,35,191,14,42.2763254812756,-71.0669555123472
6476,Hyde Park Ave @ Ramsdell Ave,BOSTON,35,192,10,42.276987106405,-71.1194511189936
595,Dorchester Ave opp Valley Rd,BOSTON,35,191,15,42.2779489036779,-71.0664895060354
569,Dorchester Ave @ Valley Rd,BOSTON,35,191,130,42.2780720586812,-71.0664528846077
537,Dorchester Ave @ Gallivan Blvd,BOSTON,35,191,129,42.2799936315061,-71.0659022419187
533,Dorchester Ave @ Gallivan Blvd,BOSTON,35,191,16,42.2802863390961,-71.0658230265312
6460,Cummins Hwy @ Rowe St,BOSTON,35,192,11,42.2806445611107,-71.1205531260959
6461,Cummins Hwy @ Brown Ave,BOSTON,35,192,12,42.2817608462723,-71.1223354882368
534,Dorchester Ave @ Van Winkle St,BOSTON,35,191,17,42.2819363325071,-71.0653557418472
536,Dorchester Ave @ Hurlcroft Ave,BOSTON,35,191,128,42.2820544605576,-71.0653217086028
6462,Cummins Hwy @ Sherwood St,BOSTON,35,192,13,42.2828450026792,-71.1238943976345
535,Dorchester Ave @ Mercier Ave,BOSTON,35,191,127,42.2831080758094,-71.0650309374411
397,Dorchester Ave @ Ashmont Busway,BOSTON,35,191,18,42.2835650919484,-71.0648928052562
6463,Cummins Hwy @ Sycamore St,BOSTON,35,192,14,42.2844109864894,-71.1250315089119
6464,Cummins Hwy @ Florence St,BOSTON,35,192,15,42.2851115329294,-71.1259992955736
795,Corinth St @ Washington St,BOSTON,35,192,19,42.2857252053964,-71.1290471498307
636,Washington St @ Cummins Hwy,BOSTON,35,192,16,42.2865505958704,-71.1280098120096
602,South St @ Taft Hill Terr,BOSTON,35,192,17,42.2868872819224,-71.1285193886413
797,Belgrade Ave @ Robert St,BOSTON,35,192,18,42.2869612948129,-71.1303812994946
30336,Dorchester Ave @ Dracut St,BOSTON,35,191,19,42.2869978924329,-71.0639454109548
337,Dorchester Ave @ Msgr Lydon Way,BOSTON,35,191,20,42.2880089047989,-71.0636686887091
332,Dorchester Ave @ Banton St,BOSTON,35,191,125,42.288289276191,-71.0635908681178
637,Washington St @ Firth Rd,BOSTON,35,192,20,42.2886735527378,-71.1257519023351
338,Dorchester Ave @ Shepton St,BOSTON,35,191,21,42.2893579490736,-71.0632887643902
331,Dorchester Ave opp Shepton St,BOSTON,35,191,124,42.289403024733,-71.0632764916899
638,Washington St @ Granfield Ave,BOSTON,35,192,21,42.2901132928364,-71.1242252047401
639,Washington St @ Whipple Ave,BOSTON,35,192,22,42.2915922371427,-71.1226366842717
339,Dorchester Ave @ King St,BOSTON,35,191,22,42.2919402980857,-71.0625707703662
330,Dorchester Ave @ Cheverus Rd,BOSTON,35,191,123,42.2922838017452,-71.0624679812724
640,Washington St @ Archdale Rd,BOSTON,35,192,23,42.292688901479,-71.1214787358651
340,Dorchester Ave @ Centre St,BOSTON,35,191,23,42.2935545407279,-71.0621236954424
329,Dorchester Ave @ Centre St,BOSTON,35,191,122,42.2937281604369,-71.0620698166597
641,Washington St @ Aldwin Rd,BOSTON,35,192,24,42.2947148145225,-71.1193274167125
341,Dorchester Ave @ Dix St,BOSTON,35,191,24,42.2949785982443,-71.0616935283932
328,1621 Dorchester Ave opp Dix St,BOSTON,35,191,121,42.2951334783972,-71.0616487433956
342,Dorchester Ave @ Parkman St,BOSTON,35,191,25,42.2960656098223,-71.0613714657017
327,Dorchester Ave @ Melville Ave,BOSTON,35,191,120,42.2961418157026,-71.0613466477473
642,Washington St @ Tollgate Way,BOSTON,35,192,25,42.2962996727257,-71.117661478345
343,Dorchester Ave @ Gibson St,BOSTON,35,191,26,42.2971072537506,-71.0610651089876
326,Dorchester Ave opp Gibson St,BOSTON,35,191,119,42.2972704323036,-71.0610176573091
325,Park St Busway @ Dorchester Ave,BOSTON,35,191,27,42.2982516230513,-71.0609201237886
322,Geneva Ave opp Vinson St,BOSTON,35,191,28,42.2990387400737,-71.0640196174169
556,Geneva Ave @ Tonawanda St,BOSTON,35,191,117,42.2995112852107,-71.0648325699419
557,452 Geneva Ave opp Bloomfield St,BOSTON,35,191,29,42.299841546361,-71.0654003235114
555,Geneva Ave @ Dakota St,BOSTON,35,191,116,42.300374680183,-71.0663075391231
10642,Forest Hills Station Upper Busway,BOSTON,35,192,26,42.300736122666,-71.1143520031759
10642,Forest Hills Station Upper Busway,BOSTON,35,192,90,42.300737122666,-71.1143520031759
558,Geneva Ave @ Westville St,BOSTON,35,191,30,42.3008939154437,-71.0671797174928
554,Geneva Ave @ Westville St,BOSTON,35,191,115,42.3011143036529,-71.0675467046285
559,Geneva Ave @ Topliff St,BOSTON,35,191,31,42.3014269790662,-71.0680852292624
