Origin,Destination,OriginLat,OriginLon,DestLat,DestLon,TRIP_TYPE,Direction,Commute_SOV,Commute_Carpool,Commute_Transit,Commute_Walk,Commute_Bicycle,Commute_Taxi,Commute_WorkAtHome,Commute_Other,Commute_Total
2502513035030A,14,42.3613032252968,-71.055855733886,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,66,5,115,14,2,0,0,2,204
2502513035030B,14,42.3602297100834,-71.0571507525239,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,66,5,115,14,2,0,0,2,204
2502513035030C,14,42.361693756478,-71.0573003877846,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,66,5,115,14,2,0,0,2,204
2502513035030D,14,42.3610462741794,-71.0569576500934,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,66,5,115,14,2,0,0,2,204
2502513035030E,14,42.3612384100877,-71.0574635757995,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,66,5,115,14,2,0,0,2,204
2502513035031A,14,42.3612968692389,-71.0608577036591,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,50,10,89,9,0,0,0,2,160
2502513035031A,14,42.3612968692389,-71.0608577036591,42.3566618002216,-71.0618198555397,Downtown_to_Outside,Inbound,0,0,1,0,0,0,0,0,1
2502513035031B,14,42.3608502523351,-71.060867565682,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,50,10,89,9,0,0,0,2,160
2502513035031B,14,42.3608502523351,-71.060867565682,42.3566618002216,-71.0618198555397,Downtown_to_Outside,Inbound,0,0,1,0,0,0,0,0,1
2502513035031C,14,42.3591047883165,-71.0589716505127,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,50,10,89,9,0,0,0,2,160
2502513035031C,14,42.3591047883165,-71.0589716505127,42.3566618002216,-71.0618198555397,Downtown_to_Outside,Inbound,0,0,1,0,0,0,0,0,1
2502513035031D,14,42.3624271939185,-71.0585220684271,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,50,10,89,9,0,0,0,2,160
2502513035031D,14,42.3624271939185,-71.0585220684271,42.3566618002216,-71.0618198555397,Downtown_to_Outside,Inbound,0,0,1,0,0,0,0,0,1
2502513035031E,14,42.3602504487467,-71.0572897790384,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,50,10,89,9,0,0,0,2,160
2502513035031E,14,42.3602504487467,-71.0572897790384,42.3566618002216,-71.0618198555397,Downtown_to_Outside,Inbound,0,0,1,0,0,0,0,0,1
2502513035195A,14,42.3557397198625,-71.0589192513441,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,47,8,136,10,2,0,0,1,204
2502513035195B,14,42.3555288445115,-71.056570919321,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,47,8,136,10,2,0,0,1,204
2502513035195C,14,42.3563819774574,-71.0594890328151,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,47,8,136,10,2,0,0,1,204
2502513035195D,14,42.3554726646196,-71.0573512297149,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,47,8,136,10,2,0,0,1,204
2502513035195E,14,42.3554898224295,-71.0580216281854,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,47,8,136,10,2,0,0,1,204
2502513035208A,14,42.3564448456566,-71.0582078415114,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,68,16,166,18,2,1,0,1,272
2502513035208B,14,42.3560705619376,-71.0548768366899,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,68,16,166,18,2,1,0,1,272
2502513035208C,14,42.3573058283414,-71.0536154393588,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,68,16,166,18,2,1,0,1,272
2502513035208D,14,42.3556632309918,-71.0556852638313,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,68,16,166,18,2,1,0,1,272
2502513035208E,14,42.3566079129288,-71.053928727948,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,68,16,166,18,2,1,0,1,272
2502513035223A,14,42.3582629765763,-71.0527615874302,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,45,7,69,9,0,0,0,2,132
2502513035223B,14,42.3568366644974,-71.0534539054153,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,45,7,69,9,0,0,0,2,132
2502513035223C,14,42.3576591148068,-71.0532216763938,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,45,7,69,9,0,0,0,2,132
2502513035223D,14,42.3576618288066,-71.0543701742311,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,45,7,69,9,0,0,0,2,132
2502513035223E,14,42.3584779813591,-71.0532477817784,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,45,7,69,9,0,0,0,2,132
2502513035236A,14,42.3592680861066,-71.0594871400582,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,83,11,95,13,0,1,0,3,206
2502513035236B,14,42.3588249642274,-71.0578168576777,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,83,11,95,13,0,1,0,3,206
2502513035236C,14,42.3589864027341,-71.0585931108024,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,83,11,95,13,0,1,0,3,206
2502513035236D,14,42.357663491005,-71.0580943898822,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,83,11,95,13,0,1,0,3,206
2502513035236E,14,42.3587588375209,-71.0599223671704,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,83,11,95,13,0,1,0,3,206
2502513035241A,14,42.356912563857,-71.0557590481072,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,35,16,89,13,0,0,0,1,154
2502513035241B,14,42.3573498452442,-71.0548478042351,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,35,16,89,13,0,0,0,1,154
2502513035241C,14,42.3567661616052,-71.0573596681579,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,35,16,89,13,0,0,0,1,154
2502513035241D,14,42.3568050520637,-71.0568090843526,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,35,16,89,13,0,0,0,1,154
2502513035241E,14,42.3568226200664,-71.0563431976508,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,35,16,89,13,0,0,0,1,154
2502513035242A,14,42.3560924576379,-71.0584617980826,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,26,4,73,5,1,0,0,0,109
2502513035242B,14,42.357022532728,-71.0587535356639,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,26,4,73,5,1,0,0,0,109
2502513035242C,14,42.3567840538908,-71.0578276987758,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,26,4,73,5,1,0,0,0,109
2502513035242D,14,42.3567889449042,-71.0579932055929,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,26,4,73,5,1,0,0,0,109
2502513035242E,14,42.3566265001693,-71.0591624784674,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,26,4,73,5,1,0,0,0,109
2502513035244A,14,42.358756165118,-71.0615108902534,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,105,26,178,20,1,0,0,2,332
2502513035244A,14,42.358756165118,-71.0615108902534,42.3566618002216,-71.0618198555397,Downtown_to_Outside,Inbound,1,0,3,8,0,0,0,0,12
2502513035244B,14,42.3591740240165,-71.0616317867317,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,105,26,178,20,1,0,0,2,332
2502513035244B,14,42.3591740240165,-71.0616317867317,42.3566618002216,-71.0618198555397,Downtown_to_Outside,Inbound,1,0,3,8,0,0,0,0,12
2502513035244C,14,42.3601626854247,-71.0602156129861,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,105,26,178,20,1,0,0,2,332
2502513035244C,14,42.3601626854247,-71.0602156129861,42.3566618002216,-71.0618198555397,Downtown_to_Outside,Inbound,1,0,3,8,0,0,0,0,12
2502513035244D,14,42.3608651463795,-71.061336470029,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,105,26,178,20,1,0,0,2,332
2502513035244D,14,42.3608651463795,-71.061336470029,42.3566618002216,-71.0618198555397,Downtown_to_Outside,Inbound,1,0,3,8,0,0,0,0,12
2502513035244E,14,42.3592900836097,-71.059861672952,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,105,26,178,20,1,0,0,2,332
2502513035244E,14,42.3592900836097,-71.059861672952,42.3566618002216,-71.0618198555397,Downtown_to_Outside,Inbound,1,0,3,8,0,0,0,0,12
2502513035246A,14,42.3582448387298,-71.0555975669133,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,88,13,164,19,3,1,0,1,289
2502513035246B,14,42.3589728876849,-71.0559614131377,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,88,13,164,19,3,1,0,1,289
2502513035246C,14,42.3592225300688,-71.0546349587438,42.3566618002216,-71.0618198555397,Outside_to_Downtown,Outbound,88,13,164,19,3,1,0,1,289
